FixtureKey,Team,2PM,2PA,3PM,3PA,FTM,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
ABILCH v INCWRD 04-Dec-2021,2,15,23,5,20,20,25,1,23,10,3,2,21,21
ABILCH v JACKST 07-Nov-2022,1,15,29,8,28,11,20,6,28,12,9,5,15,17
ABILCH v JACKST 07-Nov-2022,2,20,36,2,19,10,14,8,33,9,6,1,21,21
GCANYN v ABILCH 17-Feb-2023,2,23,43,5,18,23,30,8,14,10,10,2,3,23
GCANYN v ABILCH 17-Feb-2023,1,20,31,10,14,24,33,8,27,7,1,3,17,24
NM ST v ABILCH 12-Mar-2022,2,11,30,6,22,12,16,9,19,6,5,1,11,18
NM ST v ABILCH 12-Mar-2022,1,12,28,8,25,18,23,17,27,12,3,6,15,17
ABILCH v MIDTEN 22-Mar-2022,1,12,30,8,19,21,27,12,21,10,5,2,16,20
ABILCH v MIDTEN 22-Mar-2022,2,20,31,10,22,15,23,5,20,19,11,4,12,23
AIRFOR v WYO 28-Jan-2022,1,20,26,5,20,6,11,4,21,10,4,4,13,25
AIRFOR v WYO 28-Jan-2022,2,19,36,2,16,19,27,15,21,5,3,0,13,18
BOISE v AIRFOR 18-Jan-2022,2,16,30,6,13,6,14,7,19,12,5,1,20,23
BOISE v AIRFOR 18-Jan-2022,1,14,25,5,14,19,32,7,17,9,8,7,14,17
AIRFOR v CO ST 22-Jan-2022,1,9,28,9,26,8,18,9,20,14,8,5,14,16
AIRFOR v CO ST 22-Jan-2022,2,21,30,6,17,13,19,4,32,10,7,6,16,15
WYO v AIRFOR 19-Feb-2022,2,17,40,9,19,6,9,11,17,10,2,2,9,26
WYO v AIRFOR 19-Feb-2022,1,22,32,3,17,22,26,8,24,11,1,2,8,13
ARK ST v AIRFOR 19-Dec-2021,2,12,35,6,21,4,7,11,18,12,7,1,15,15
ARK ST v AIRFOR 19-Dec-2021,1,22,41,5,16,9,14,15,29,16,6,6,15,12
AIRFOR v BOISE 31-Jan-2023,1,16,27,4,24,8,10,8,22,9,3,5,11,12
AIRFOR v BOISE 31-Jan-2023,2,15,29,7,22,8,9,7,25,6,6,5,10,15
TARLET v AIRFOR 21-Dec-2021,2,11,21,5,18,8,11,5,17,11,4,3,18,17
TARLET v AIRFOR 21-Dec-2021,1,19,29,6,14,11,18,5,20,9,9,1,11,14
AIRFOR v FRESNO 22-Feb-2022,1,8,22,7,28,3,3,2,13,10,4,4,9,15
AIRFOR v FRESNO 22-Feb-2022,2,18,26,5,14,14,16,4,31,15,2,6,12,12
FRESNO v AIRFOR 14-Jan-2023,2,8,29,9,25,8,9,11,24,15,4,3,10,11
FRESNO v AIRFOR 14-Jan-2023,1,18,38,2,15,6,7,10,26,4,6,6,11,9
UNLV v AIRFOR 24-Feb-2023,2,13,29,7,22,6,8,6,23,15,11,5,16,17
UNLV v AIRFOR 24-Feb-2023,1,19,33,3,20,7,10,8,26,9,8,5,17,14
AIRFOR v TAMUCO 14-Nov-2022,1,18,31,6,22,15,26,7,29,15,12,5,16,22
AIRFOR v TAMUCO 14-Nov-2022,2,15,26,10,35,13,22,12,30,16,7,5,17,20
UT ST v AIRFOR 14-Feb-2023,2,17,33,7,22,10,12,3,24,14,6,4,9,15
UT ST v AIRFOR 14-Feb-2023,1,20,38,9,22,13,15,8,30,15,5,1,8,12
AIRFOR v SDSU 21-Jan-2023,1,16,26,8,26,4,10,4,21,14,6,4,6,19
AIRFOR v SDSU 21-Jan-2023,2,18,42,4,15,22,23,15,30,6,1,4,8,17
SJSU v AIRFOR 25-Jan-2022,2,9,25,12,28,9,13,14,23,9,6,8,12,16
SJSU v AIRFOR 25-Jan-2022,1,17,38,3,14,10,12,10,21,8,4,6,11,16
AIRFOR v WYO 17-Jan-2023,1,18,28,10,25,16,19,4,21,15,7,3,9,11
AIRFOR v WYO 17-Jan-2023,2,22,35,6,16,12,17,4,23,11,2,3,11,16
PORTST v AIRFOR 03-Dec-2022,2,13,24,5,21,23,34,7,22,14,5,1,17,23
PORTST v AIRFOR 03-Dec-2022,1,18,27,4,17,20,27,1,22,12,5,2,14,29
AIRFOR v N MEX 10-Feb-2023,1,26,36,9,17,10,16,6,23,21,7,5,13,18
AIRFOR v N MEX 10-Feb-2023,2,21,40,7,15,14,22,9,15,9,7,4,12,19
AIRFOR v TARLET 18-Dec-2022,1,20,28,9,22,14,17,8,25,18,4,7,16,19
AIRFOR v TARLET 18-Dec-2022,2,24,50,0,3,19,27,8,14,5,11,1,7,20
BGSU v AIRFOR 07-Nov-2022,2,10,21,12,34,2,4,3,28,11,5,6,14,17
BGSU v AIRFOR 07-Nov-2022,1,16,36,6,20,12,19,8,30,9,8,2,13,14
AIRFOR v N MEX 05-Feb-2022,1,19,36,7,21,18,24,7,21,14,3,2,11,18
AIRFOR v N MEX 05-Feb-2022,2,25,40,8,16,17,21,4,26,9,5,7,12,25
AIRFOR v SO DAK 06-Dec-2022,1,14,27,11,24,18,22,7,26,19,7,7,11,14
