FixtureKey,TipOff,GameType,IsNeutralSite,Attendance,Season,Team1Conference,Team2Conference
UGA v ALA 25-Jan-2022,18:30,RegularSeason,0,6703,2022,SEC,SEC
ALA v SDAKST 03-Dec-2022,20:30,RegularSeason,0,9086,2023,SEC,Summit
ALA v JAX ST 18-Dec-2021,20:30,RegularSeason,0,10064,2022,SEC,A-Sun
ALA v UCONN 25-Nov-2022,21:30,RegularSeason,1,0,2023,SEC,Big East
LSU v ALA 04-Feb-2023,16:00,RegularSeason,0,9652,2023,SEC,SEC
ALA v LSU 14-Jan-2023,16:10,RegularSeason,0,13474,2023,SEC,SEC
GONZ v ALA 04-Dec-2021,20:00,RegularSeason,1,18048,2022,WCC,SEC
MISSST v ALA 15-Jan-2022,18:00,RegularSeason,0,8090,2022,SEC,SEC
ALA v S CAR 26-Feb-2022,18:00,RegularSeason,0,11195,2022,SEC,SEC
ALA v LIBRTY 11-Nov-2022,20:00,RegularSeason,0,10270,2023,SEC,A-Sun
ALA v VANDY 31-Jan-2023,20:30,RegularSeason,0,9513,2023,SEC,SEC
ALA v MISS 03-Jan-2023,21:00,RegularSeason,0,8505,2023,SEC,SEC
ALA v N DAME 18-Mar-2022,15:25,MarchMadness,1,11328,2022,SEC,ACC
FLA v ALA 05-Jan-2022,19:00,RegularSeason,0,10210,2022,SEC,SEC
ALA v MEM 13-Dec-2022,21:00,RegularSeason,0,9195,2023,SEC,AAC
ALA v FLA 08-Feb-2023,21:00,RegularSeason,0,10599,2023,SEC,SEC
ALA v LATECH 09-Nov-2021,21:00,RegularSeason,0,12613,2022,SEC,CUSA
ALA v SDAKST 12-Nov-2021,20:00,RegularSeason,0,10546,2022,SEC,Summit
ALA v LSU 19-Jan-2022,19:00,RegularSeason,0,10368,2022,SEC,SEC
ARK v ALA 11-Jan-2023,19:00,RegularSeason,0,19200,2023,SEC,SEC
ALA v JAX ST 18-Nov-2022,21:00,RegularSeason,0,9018,2023,SEC,A-Sun
ALA v HOU 11-Dec-2021,22:00,RegularSeason,0,10613,2022,SEC,AAC
HOU v ALA 10-Dec-2022,15:00,RegularSeason,0,7718,2023,AAC,SEC
ALA v DAVID 21-Dec-2021,19:00,RegularSeason,1,9781,2022,SEC,A-10
ALA ST v MS VAL 02-Jan-2023,18:30,RegularSeason,0,438,2023,SWAC,SWAC
PEPPER v ALA ST 11-Dec-2021,18:00,RegularSeason,0,500,2022,WCC,SWAC
USC v ALA ST 10-Nov-2022,23:00,RegularSeason,0,2076,2023,Pac-12,SWAC
ALA ST v ALCORN 10-Jan-2022,21:00,RegularSeason,0,400,2022,SWAC,SWAC
PV A&M v ALA ST 22-Jan-2022,18:30,RegularSeason,0,1206,2022,SWAC,SWAC
ALA ST v BECOOK 20-Feb-2023,20:30,RegularSeason,0,677,2023,SWAC,SWAC
ALA ST v FL A&M 31-Jan-2022,21:00,RegularSeason,0,2150,2022,SWAC,SWAC
ALA ST v PV A&M 21-Jan-2023,19:30,RegularSeason,0,748,2023,SWAC,SWAC
ALA ST v ARK PB 04-Jan-2023,20:30,RegularSeason,0,417,2023,SWAC,SWAC
UAB v ALA ST 07-Nov-2022,19:30,RegularSeason,0,3991,2023,CUSA,SWAC
MO ST v ALA ST 13-Nov-2021,20:00,RegularSeason,0,3922,2022,MVC,SWAC
IOWAST v ALA ST 16-Nov-2021,20:00,RegularSeason,0,12100,2022,Big 12,SWAC
ALCORN v ALA ST 09-Jan-2023,17:30,RegularSeason,0,560,2023,SWAC,SWAC
ALA ST v FL A&M 18-Feb-2023,18:30,RegularSeason,0,0,2023,SWAC,SWAC
ALA ST v SAMFRD 08-Dec-2021,19:00,RegularSeason,0,175,2022,SWAC,Southern
ALA ST v SOUTHR 03-Mar-2022,21:00,RegularSeason,0,1098,2022,SWAC,SWAC
BECOOK v ALA ST 28-Jan-2023,16:30,RegularSeason,0,669,2023,SWAC,SWAC
ALA ST v AL A&M 15-Jan-2022,17:30,RegularSeason,0,1150,2022,SWAC,SWAC
OHIO v ALA ST 27-Nov-2022,14:00,RegularSeason,0,2729,2023,MAC,SWAC
PITT v ALA ST 20-Nov-2022,14:00,RegularSeason,0,5558,2023,ACC,SWAC
MEM v ALA ST 21-Dec-2022,20:00,RegularSeason,0,10193,2023,AAC,SWAC
FL A&M v ALA ST 30-Jan-2023,21:00,RegularSeason,0,2128,2023,SWAC,SWAC
JACKST v ALA ST 07-Jan-2023,18:00,RegularSeason,0,2734,2023,SWAC,SWAC
ALBANY v HARV 17-Nov-2021,19:00,RegularSeason,0,2684,2022,AEC,Ivy
ALBANY v UMASSL 08-Jan-2023,15:00,RegularSeason,0,1308,2023,AEC,AEC
ALBANY v NJIT 15-Jan-2022,16:00,RegularSeason,0,1225,2022,AEC,AEC
E KY v ALBANY 20-Nov-2021,19:30,RegularSeason,0,2251,2022,A-Sun,AEC
UK v ALBANY 22-Nov-2021,19:00,RegularSeason,0,18201,2022,SEC,AEC
PROV v ALBANY 10-Dec-2022,14:30,RegularSeason,0,8229,2023,Big East,AEC
VERMNT v ALBANY 31-Jan-2022,19:00,RegularSeason,0,2096,2022,AEC,AEC
STONY v ALBANY 26-Feb-2022,18:31,RegularSeason,0,3048,2022,AEC,AEC
UNH v ALBANY 08-Jan-2022,12:00,RegularSeason,0,339,2022,AEC,AEC
ALBANY v A PEAY 21-Nov-2022,12:00,RegularSeason,1,0,2023,AEC,A-Sun
BRYANT v ALBANY 11-Jan-2023,19:00,RegularSeason,0,669,2023,AEC,AEC
ALBANY v TOWSON 09-Nov-2021,19:00,RegularSeason,0,4215,2022,AEC,CAA
UNH v ALBANY 25-Jan-2023,17:00,RegularSeason,0,535,2023,AEC,AEC
ALBANY v UNH 19-Feb-2022,16:00,RegularSeason,0,2208,2022,AEC,AEC
UMBC v ALBANY 05-Jan-2023,19:00,RegularSeason,0,1075,2023,AEC,AEC
BINGHA v ALBANY 11-Feb-2023,14:00,RegularSeason,0,2746,2023,AEC,AEC
ALBANY v LIU BK 14-Dec-2022,19:00,RegularSeason,0,907,2023,AEC,NEC
NJIT v ALBANY 14-Jan-2023,19:00,RegularSeason,0,711,2023,AEC,AEC
HRTFRD v ALBANY 06-Mar-2022,14:00,RegularSeason,0,663,2022,AEC,AEC
ALBANY v UNH 31-Dec-2022,12:00,RegularSeason,0,1381,2023,AEC,AEC
STJOES v ALBANY 17-Nov-2022,19:00,RegularSeason,0,1452,2023,A-10,AEC
ALBANY v BINGHA 19-Jan-2023,19:00,RegularSeason,0,1161,2023,AEC,AEC
ALBANY v VERMNT 04-Feb-2023,15:00,RegularSeason,0,2014,2023,AEC,AEC
ALCORN v CSUBAK 25-Nov-2022,13:00,RegularSeason,1,0,2023,SWAC,Big West
TX SOU v ALCORN 14-Jan-2023,18:00,RegularSeason,0,1840,2023,SWAC,SWAC
TULSA v ALCORN 16-Dec-2021,20:00,RegularSeason,0,2556,2022,AAC,SWAC
HOU v ALCORN 06-Dec-2021,20:00,RegularSeason,0,6649,2022,AAC,SWAC
UTEP v ALCORN 22-Nov-2022,21:00,RegularSeason,0,4073,2023,CUSA,SWAC
ALCORN v MS VAL 06-Feb-2023,21:00,RegularSeason,0,3900,2023,SWAC,SWAC
PV A&M v ALCORN 16-Jan-2023,21:00,RegularSeason,0,1206,2023,SWAC,SWAC
GONZ v ALCORN 15-Nov-2021,21:00,RegularSeason,0,6000,2022,WCC,SWAC
MISS v ALCORN 07-Nov-2022,21:00,RegularSeason,0,5990,2023,SEC,SWAC
TENN v ALCORN 04-Dec-2022,18:00,RegularSeason,0,16481,2023,SEC,SWAC
JACKST v ALCORN 18-Feb-2023,16:00,RegularSeason,0,1325,2023,SWAC,SWAC
ALCORN v FL A&M 21-Jan-2023,17:45,RegularSeason,0,3356,2023,SWAC,SWAC
DAYTON v ALCORN 20-Dec-2022,19:00,RegularSeason,0,13407,2023,A-10,SWAC
WICHST v ALCORN 12-Nov-2022,16:00,RegularSeason,0,8515,2023,AAC,SWAC
SIU v ALCORN 26-Nov-2021,20:00,RegularSeason,0,4190,2022,MVC,SWAC
TX A&M v ALCORN 15-Mar-2022,20:00,NIT,0,6379,2022,SEC,SWAC
BECOOK v ALCORN 24-Jan-2022,19:30,RegularSeason,0,336,2022,SWAC,SWAC
ARK PB v ALCORN 05-Feb-2022,18:30,RegularSeason,0,2149,2022,SWAC,SWAC
ALCORN v GRAMB 31-Jan-2022,20:30,RegularSeason,0,1191,2022,SWAC,SWAC
ALCORN v PV A&M 17-Jan-2022,20:30,RegularSeason,0,264,2022,SWAC,SWAC
ALCORN v ARK PB 04-Feb-2023,17:00,RegularSeason,0,0,2023,SWAC,SWAC
SEATTL v ALCORN 10-Nov-2021,22:00,RegularSeason,0,503,2022,WAC,SWAC
NAVY v AMER 28-Jan-2023,14:00,RegularSeason,0,2100,2023,Patriot,Patriot
LAFAYE v AMER 02-Feb-2022,19:00,RegularSeason,0,1153,2022,Patriot,Patriot
GTOWN v AMER 16-Nov-2021,20:30,RegularSeason,0,4327,2022,Big East,Patriot
HOLYCR v AMER 05-Jan-2023,19:00,RegularSeason,0,731,2023,Patriot,Patriot
COLGAT v AMER 21-Feb-2022,18:30,RegularSeason,0,528,2022,Patriot,Patriot
AMER v HOLYCR 26-Jan-2022,19:00,RegularSeason,0,515,2022,Patriot,Patriot
AMER v LEHIGH 01-Jan-2022,16:00,RegularSeason,0,365,2022,Patriot,Patriot
HOWARD v AMER 04-Dec-2021,17:30,RegularSeason,0,612,2022,MEAC,Patriot
STFRPA v AMER 26-Nov-2022,19:00,RegularSeason,0,373,2023,NEC,Patriot
AMER v LEHIGH 18-Feb-2023,14:00,RegularSeason,0,684,2023,Patriot,Patriot
AMER v ARMY 25-Jan-2023,19:00,RegularSeason,0,657,2023,Patriot,Patriot
AMER v LOY MD 26-Feb-2022,14:00,RegularSeason,0,1034,2022,Patriot,Patriot
HOLYCR v AMER 01-Mar-2022,19:00,ConferenceChampionship,0,0,2022,Patriot,Patriot
BUCKNL v AMER 09-Feb-2022,19:00,RegularSeason,0,633,2022,Patriot,Patriot
AMER v WM&MRY 16-Nov-2022,19:00,RegularSeason,0,1204,2023,Patriot,CAA
AMER v LAFAYE 24-Jan-2022,19:00,RegularSeason,0,427,2022,Patriot,Patriot
MTSTMY v AMER 11-Dec-2021,16:00,RegularSeason,0,1935,2022,NEC,Patriot
AMER v LAFAYE 18-Jan-2023,19:00,RegularSeason,0,1207,2023,Patriot,Patriot
AMER v NAVY 16-Feb-2022,19:00,RegularSeason,0,691,2022,Patriot,Patriot
NAVY v AMER 03-Mar-2022,19:00,ConferenceChampionship,0,1011,2022,Patriot,Patriot
ARMY v AMER 11-Jan-2023,18:00,RegularSeason,0,553,2023,Patriot,Patriot
LAFAYE v AMER 30-Dec-2022,19:00,RegularSeason,0,1796,2023,Patriot,Patriot
AMER v MARIST 09-Nov-2021,20:00,RegularSeason,0,1370,2022,Patriot,MAAC
AMER v STFRPA 08-Dec-2021,19:00,RegularSeason,0,992,2022,Patriot,NEC
APP ST v ODU 18-Feb-2023,16:00,RegularSeason,0,3651,2023,Sun Belt,Sun Belt
MARSH v APP ST 29-Dec-2022,19:00,RegularSeason,0,4816,2023,Sun Belt,Sun Belt
APP ST v ETSU 12-Nov-2021,18:30,RegularSeason,0,3401,2022,Sun Belt,Southern
APP ST v SE LA 20-Nov-2022,14:30,RegularSeason,0,1553,2023,Sun Belt,Southland
S MISS v APP ST 31-Dec-2022,15:00,RegularSeason,0,3192,2023,Sun Belt,Sun Belt
APP ST v KENSAW 19-Nov-2022,19:00,RegularSeason,0,2603,2023,Sun Belt,A-Sun
APP ST v TROY 17-Feb-2022,18:30,RegularSeason,0,3017,2022,Sun Belt,Sun Belt
UNC v APP ST 21-Dec-2021,19:00,RegularSeason,0,19386,2022,ACC,Sun Belt
APP ST v TROY 14-Jan-2023,16:00,RegularSeason,0,2377,2023,Sun Belt,Sun Belt
JMU v APP ST 07-Jan-2023,20:00,RegularSeason,0,3540,2023,Sun Belt,Sun Belt
ARK ST v APP ST 25-Feb-2022,20:00,RegularSeason,0,2967,2022,Sun Belt,Sun Belt
TX ST v APP ST 03-Feb-2022,18:00,RegularSeason,0,1217,2022,Sun Belt,Sun Belt
APP ST v ARK ST 27-Jan-2022,18:30,RegularSeason,0,3045,2022,Sun Belt,Sun Belt
LOUIS v APP ST 15-Nov-2022,18:00,RegularSeason,0,11919,2023,ACC,Sun Belt
APP ST v JMU 04-Feb-2023,16:00,RegularSeason,0,3870,2023,Sun Belt,Sun Belt
APP ST v NC CEN 10-Nov-2022,18:30,RegularSeason,0,2145,2023,Sun Belt,MEAC
GA ST v APP ST 22-Feb-2023,19:00,RegularSeason,0,1850,2023,Sun Belt,Sun Belt
UALR v APP ST 23-Feb-2022,19:30,RegularSeason,0,1875,2022,Sun Belt,Sun Belt
VERMNT v APP ST 24-Nov-2021,13:30,RegularSeason,1,213,2022,AEC,Sun Belt
APP ST v GA ST 26-Jan-2023,18:30,RegularSeason,0,2559,2023,Sun Belt,Sun Belt
APP ST v S ALA 19-Feb-2022,16:30,RegularSeason,0,4508,2022,Sun Belt,Sun Belt
APP ST v DEL 22-Nov-2021,19:30,RegularSeason,1,386,2022,Sun Belt,CAA
DUKE v APP ST 16-Dec-2021,19:00,RegularSeason,0,9314,2022,ACC,Sun Belt
WASHST v ARIZ 26-Jan-2023,23:15,RegularSeason,0,5225,2023,Pac-12,Pac-12
ORE ST v ARIZ 12-Jan-2023,23:00,RegularSeason,0,4126,2023,Pac-12,Pac-12
ARIZ v TCU 20-Mar-2022,20:54,MarchMadness,1,11425,2022,Pac-12,Big 12
ARIZ v WICHST 19-Nov-2021,22:00,RegularSeason,1,0,2022,Pac-12,AAC
TENN v ARIZ 22-Dec-2021,19:00,RegularSeason,0,20408,2022,SEC,Pac-12
ARIZ v IND 10-Dec-2022,19:30,RegularSeason,1,13357,2023,Pac-12,Big Ten
ARIZ v COLO 18-Feb-2023,20:00,RegularSeason,0,14688,2023,Pac-12,Pac-12
ARIZ v SDSU 22-Nov-2022,22:38,RegularSeason,1,2400,2023,Pac-12,MWC
ARIZ v WASH 03-Jan-2022,20:00,RegularSeason,0,12496,2022,Pac-12,Pac-12
ORE ST v ARIZ 05-Dec-2021,16:00,RegularSeason,0,3918,2022,Pac-12,Pac-12
ARIZ v UTAH 15-Jan-2022,20:00,RegularSeason,0,14164,2022,Pac-12,Pac-12
ARIZ v UCLA 03-Feb-2022,20:00,RegularSeason,0,14644,2022,Pac-12,Pac-12
ARIZ v COLO 11-Mar-2022,21:00,ConferenceChampionship,1,0,2022,Pac-12,Pac-12
WASH v ARIZ 28-Jan-2023,17:30,RegularSeason,0,9268,2023,Pac-12,Pac-12
ARIZ v WRIGHT 18-Mar-2022,18:27,MarchMadness,1,0,2022,Pac-12,Horizon
ARIZ v ND ST 16-Nov-2021,21:00,RegularSeason,0,12059,2022,Pac-12,Summit
ARIZ v CALBAP 18-Dec-2021,18:00,RegularSeason,0,14623,2022,Pac-12,WAC
ARIZ v TAMUCC 13-Dec-2022,20:30,RegularSeason,0,13854,2023,Pac-12,Southland
WASHST v ARIZ 10-Feb-2022,21:00,RegularSeason,0,5012,2022,Pac-12,Pac-12
ARIZ v SAC ST 27-Nov-2021,19:30,RegularSeason,0,11733,2022,Pac-12,Big Sky
STAN v ARIZ 11-Feb-2023,20:00,RegularSeason,0,5313,2023,Pac-12,Pac-12
AZ ST v ARIZ 07-Feb-2022,21:00,RegularSeason,0,13233,2022,Pac-12,Pac-12
ARIZ v OREGN 02-Feb-2023,22:30,RegularSeason,0,14688,2023,Pac-12,Pac-12
ARIZ v UTRGV 12-Nov-2021,21:00,RegularSeason,0,11862,2022,Pac-12,WAC
ARIZ v STAN 03-Mar-2022,21:00,RegularSeason,0,14382,2022,Pac-12,Pac-12
ARIZ v MORGAN 22-Dec-2022,20:00,RegularSeason,0,14021,2023,Pac-12,MEAC
ARK v ND ST 07-Nov-2022,20:00,RegularSeason,0,19200,2023,SEC,Summit
ARK v UNC G 06-Dec-2022,19:00,RegularSeason,0,19200,2023,SEC,Southern
KAN ST v ARK 22-Nov-2021,21:00,RegularSeason,1,0,2022,Big 12,SEC
MIZZOU v ARK 18-Jan-2023,21:00,RegularSeason,0,14448,2023,SEC,SEC
TX A&M v ARK 15-Feb-2023,21:00,RegularSeason,0,11315,2023,SEC,SEC
FLA v ARK 22-Feb-2022,19:00,RegularSeason,0,9023,2022,SEC,SEC
ARK v LSU 11-Mar-2022,14:00,ConferenceChampionship,1,16094,2022,SEC,SEC
BAYLOR v ARK 28-Jan-2023,16:00,RegularSeason,0,10627,2023,Big 12,SEC
ARK v FLA 18-Feb-2023,14:00,RegularSeason,0,19200,2023,SEC,SEC
